,College Name,GPA,Verbal,Quants,Writing,Cluster,Tier
434,"University Of Arkansas, Fayetteville",3.684545455,155.2727273,151.6363636,4.045454545,1,4
435,University Of Austin At Texas,3.52,152,170,3,0,2
436,"University Of Binghamton , SUNY",3.48,153,168,3.5,0,2
437,University Of Birmingham,4,163,152,5,2,3
438,University Of Bologna,2.7,149,164,3,0,2
439,University Of Bonn,1.604,154,168,3,0,2
440,University Of Bristol,3.3875,157,155,3.75,1,4
441,University Of British Columbia,3.185,154.5,164.5,3.5,0,2
442,University Of British Columbia (UBC),3.691038961,159.7402597,162.4805195,4.058441558,3,1
443,University Of Calgary,3.683636364,156.9090909,161.3181818,3.954545455,3,1
444,University Of California - Merced (UCM),3.5,134,163,3,0,2
445,University Of California Santa Barbara (UCSB) Bren School Of Environmental Science And Management,3.89,169,164,5.5,3,1
446,University Of California Sol Price School Of Public Policy,3.52,162,158,5,2,3
447,"University Of California, Berkeley (UCB)",3.693043478,161.0144928,162.4710145,4.514492754,3,1
448,"University Of California, Davis (UCD)",3.560967742,159.0967742,161.1612903,4.209677419,3,1
449,"University Of California, Irvine (UCI)",3.421494253,157.4597701,161.0114943,3.913793103,3,1
450,"University Of California, Los Angeles (UCLA)",3.66023913,160.0326087,160.6050725,4.244565217,3,1
451,"University Of California, Riverside",3.48,164,166,3.5,3,1
452,"University Of California, Riverside (UCR)",3.436153846,155.6923077,160.1538462,3.807692308,3,1
453,"University Of California, San Diego (UCSD)",3.659892308,159.2692308,163.4307692,4.107692308,3,1
454,"University Of California, Santa Barbara (UCSB)",3.617083333,159.875,162,3.770833333,3,1
455,"University Of California, Santa Cruz (UCSC)",3.529,157.6,162.4,4.15,3,1
456,University Of Cambridge,3.767857143,163.8214286,164.6428571,4.660714286,3,1
457,University Of Central Arkansas,3.576363636,154.9090909,149.8181818,4.363636364,4,5
458,University Of Central Florida (UCF),3.605454545,154.1688312,152.8051948,4.149350649,1,4
459,University Of Central Missouri,3.77,149.75,151.25,4,4,5
460,University Of Chicago (UChicago),3.677177033,163.3444976,159.6220096,4.664114833,3,1
461,University Of Chicago Division Of Social Sciences,3.57,158,151.3333333,5,1,4
462,University Of Cincinnati,3.597708333,156.8125,156.7916667,4.1875,1,4
463,University Of Colombo,3.1,150,150,3,4,5
464,"University Of Colorado, Boulder",3.642282828,160.4141414,158.3636364,4.454545455,3,1
465,"University Of Colorado, Colorado Springs",3.4,161,157.5,4.25,2,3
466,"University Of Colorado, Denver",3.365,158.1666667,155.9444444,4.222222222,1,4
467,University Of Connecticut,3.723617021,157,155.2765957,4.5,1,4
468,University Of Copenhagen,3.25,146.5,158,2.5,0,2
469,University Of Dallas,3.38,170,151,6,2,3
470,University Of Dayton,3.48,154,156.5,4.25,1,4
471,University Of Delaware,3.582058824,159.2352941,158.0588235,4.191176471,1,4
472,University Of Denver,3.549552239,160.5522388,155.641791,4.5,1,4
473,University Of East Anglia,3.3,160,140,4.5,4,5
474,University Of Edinburgh,3.745384615,159.0769231,157.1538462,4.384615385,1,4
475,University Of Essex,3.455,157,155.5,4.25,1,4
476,University Of Exeter,3.8,170,155,5.5,2,3
477,University Of Florida (M.E. Rinker School Of Construction Management),3,151,170,4,0,2
478,"University Of Florida, Gainesville (UFL)",3.5225,156.7083333,158.9916667,3.7875,1,4
479,University Of Georgia,3.644057971,159.1014493,155.5797101,4.420289855,1,4
480,University Of Ghazvin At Radon Tech,4,140,168,3,0,2
481,University Of Glasgow,3.443333333,154,159,3.833333333,1,4
482,University Of Guelph,3.9,145,159,2.5,0,2
483,University Of Hartford,3.423333333,158,149.6666667,4,1,4
484,University Of Hawaii,3.635,156,151.25,3.875,1,4
485,"University Of Hawaii, Manoa",3.745769231,159.6153846,153.0769231,4.442307692,1,4
486,University Of Heidelberg,3.58,143,158,2,0,2
487,University Of Houston,3.5503125,156.921875,155.453125,4.25,1,4
488,"University Of Ibadan, Nigeria",3.8,166,166,5,3,1
489,University Of Idaho,3.46,156.5,152.25,4.25,1,4
490,University Of Illinois At Chicago School Of Public Health,3.34,168,159,4,2,3
491,University Of Illinois Uiuc,3.9,154,164,5.5,0,2
492,"University Of Illinois, Chicago (UIC)",3.549605263,156.4342105,157.6842105,4.118421053,1,4
493,"University Of Illinois, Springfield",3.28,154,154,4.5,1,4
494,"University Of Illinois, Urbana-Champaign (UIUC)",3.707315985,158.4609665,161.4981413,4.031598513,3,1
495,University Of Indiana SPEA,3.53,164,158,5.5,2,3
496,"University Of Indiana, Bloomington",3.81,165,152,4,2,3
497,University Of Iowa,3.521,159,156.8333333,4.444444444,1,4
498,University Of Kansas,3.630489796,157.5510204,155.877551,4.448979592,1,4
499,University Of Kent BSIS,3.79,160,157,5,1,4
500,University Of Kentucky,3.610909091,156.6060606,155.3333333,4.348484848,1,4
501,University Of Leeds,3.755,162.5,153.25,4.75,2,3
502,University Of Leicester,3.79,165,153,5,2,3
503,University Of Lethbridge,3.45,158,165,4,3,1
504,University Of London,3.3,160,140,4.5,4,5
505,University Of Louisiana At Monroe,3.68,150,150,4,4,5
506,"University Of Louisiana, Lafayette",3.411666667,154.5,155.25,3.75,1,4
507,University Of Louisville,3.568947368,159.4210526,152.7894737,4.315789474,1,4
508,University Of Maine,3.645555556,157.1111111,148.6666667,4.5,1,4
509,University Of Manchester,3,157,168,3,3,1
510,University Of Manitoba,3.733333333,156.3333333,157.3333333,4.333333333,1,4
511,University Of Maryland - MAPO,3.49,166,159,6,2,3
512,"University Of Maryland, Baltimore County (UMBC)",3.54375,158.375,155.125,4.5625,1,4
513,"University Of Maryland, College Park (UMD)",3.59516129,159.2258065,157.5870968,4.429032258,1,4
514,"University Of Maryland, School Of Public Policy",3.8,166,158,5.5,2,3
515,"University Of Massachusetts, Amherst (UMass)",3.654166667,158.952381,157.8571429,4.226190476,1,4
516,"University Of Massachusetts, Boston",3.646666667,158.3333333,149.6666667,4.333333333,1,4
517,University Of Memphis,3.718571429,157.047619,153.5714286,4.166666667,1,4
518,University Of Miami,3.523333333,156,156.3333333,4.277777778,1,4
519,University Of Michigan (Ford School And Rackham Graduate School),2.7,164,157,4,2,3
520,University Of Michigan School Of Natural Resources And Environment,3.63,160,167,4.5,3,1
521,University Of Michigan School Of Natural Resources And Environment (SNRE),3.89,169,164,5.5,3,1
522,"University Of Michigan School Of Public Health, Health Behavior & Health Education MPH",3.5,157,150,4,1,4
523,"University Of Michigan, Ann Arbor (UMich)",3.636534759,160.0882353,161.5802139,4.190641711,3,1
524,"University Of Michigan, Ann Arbor (Umich)",3.78,164,166,3,3,1
525,University Of Minnesota,3.582315789,156,156.9473684,4.157894737,1,4
526,"University Of Minnesota, Twin Cities (UMN)",3.597388535,159.2484076,160.7707006,4.21656051,3,1
527,University Of Mississippi,3.764,155.4,149.1,4.3,4,5
528,University Of Missouri,3.84,155,156.8333333,4.25,1,4
529,"University Of Missouri, Columbia",3.597142857,158.3333333,154.4761905,4.238095238,1,4
530,"University Of Missouri, Kansas City",3.72,143,162,3,0,2
531,University Of Montana,3.703076923,157.2307692,153.1538462,4.384615385,1,4
532,University Of Montevallo,3.65,151.7777778,149.6666667,3.833333333,4,5
533,"University Of Nebraska, Lincoln",3.726466667,154.1666667,152.3,4.15,1,4
534,"University Of Nebraska, Omaha",3.735555556,153.3333333,149,4.166666667,4,5
535,University Of Nebraska-Kearney,3.32,149,151.5,4,4,5
536,"University Of Nevada, Las Vegas",3.515,159,160,5,3,1
537,"University Of Nevada, Reno",3.811666667,152.8333333,149.8333333,4.416666667,4,5
538,University Of New Brunswick,3.8,150,164,3.5,0,2
539,University Of New England,3.6,157,156,5.5,1,4
540,University Of New Hampshire,3.69375,157.8125,152.71875,4.484375,1,4
541,University Of New Haven,3.579090909,158.6363636,154,4.681818182,1,4
542,University Of New Mexico,3.590869565,156.5652174,154.5217391,4.391304348,1,4
543,University Of New Orleans,3.925,159.5,161.5,4.25,3,1
544,University Of North Carolina (UNC). Gillings School Of Public Health,4,164,161,5,3,1
545,University Of North Carolina Gillings School Of Global Public Health,3.2,163,160,4.5,3,1
546,University Of North Carolina School Of Government,3.76,168,149,3.5,2,3
547,"University Of North Carolina, Chapel Hill (UNC)",3.693366337,161.6237624,157.9306931,4.5,2,3
548,"University Of North Carolina, Charlotte",3.505238095,156.6190476,154.4761905,4.214285714,1,4
549,"University Of North Carolina, Greensboro",3.617333333,156.7666667,149.9666667,4.4,1,4
550,"University Of North Carolina, Wilmington",3.673333333,155,151.6666667,4,1,4
551,University Of North Dakota,3.66,156.5238095,153.9047619,4.19047619,1,4
552,University Of North Texas,3.5134375,154.46875,153.3125,4.15625,1,4
553,University Of Northern Colorado,3.796666667,160,152.9166667,4.541666667,1,4
554,University Of Northern Iowa,3.81625,150,151.5,4.375,4,5
555,University Of Notre Dame,3.766363636,161.3636364,157.1818182,4.909090909,2,3
556,University Of Nottingham,3.335,156,163,4.25,3,1
557,University Of Ohio,3.33,146,163,3,0,2
558,University Of Oklahoma,3.77,157.625,155.7916667,4.354166667,1,4
559,University Of Oregon,3.598186047,159.627907,153.872093,4.546511628,1,4
560,University Of Ottawa,3.666666667,158.3333333,164,4.666666667,3,1
561,University Of Oxford,3.775869565,163.1304348,162.673913,4.717391304,3,1
562,University Of Pennsylvania (PennPlanning) (PennDesign),3.2,164,158,5,2,3
563,University Of Pennsylvania (UPenn),3.594563265,160.4693878,161.0408163,4.248979592,3,1
564,University Of Pennsylvania Fels Institute Of Government,3.515,162,159.5,5,3,1
565,"University Of Pennsylvania, Fels Institute",3.51,156,155,4,1,4
566,University Of Phoenix,2.4,143,140,2.5,4,5
567,University Of Pittsburgh,3.639722222,158.0277778,156.7962963,4.310185185,1,4
568,University Of Puget Sound,3.806666667,157.6666667,156.6666667,4.666666667,1,4
569,University Of Redlands,3.501818182,156.9090909,152.7272727,4.409090909,1,4
570,University Of Rhode Island,3.6228,156.8,156.44,4.22,1,4
571,University Of Rochester,3.549565217,157.8695652,162.8695652,3.717391304,3,1
572,University Of San Diego,2.6,151,151,4.5,4,5
573,University Of San Francisco,3.34,156.6666667,154,4.166666667,1,4
574,University Of Saskatchewan,3.71,157,167.5,4.25,3,1
575,University Of Sheffield,3.475,155,155.5,4.75,1,4
576,University Of South Alabama,3.68,152.4,148.4,3.8,4,5
577,University Of South Carolina,3.648813559,158.5254237,154.3050847,4.279661017,1,4
578,University Of South Dakota,3.67,152.8,149,3.95,4,5
579,University Of South FL,3.89,162,153,4.5,2,3
580,University Of South Florida (USF),3.628237288,155.2881356,152.8305085,4.06779661,1,4
581,University Of South Florida- St. Petersburg,4,160,155,5,1,4
582,"University Of Souther California, Sol Price School Of Public Policy",3.17,158,157,4.5,1,4
583,University Of Southern California (USC),3.559994382,157.8848315,160.5140449,4.03511236,3,1
584,University Of Southern California At San Diego,3.2,155,144,4.5,4,5
585,University Of Southern California Keck School Of Medicine,3.5,162.5,157,4,2,3
586,University Of Southern California Price School Of Public Policy,3.73,160,161,3.5,3,1
587,University Of Southern California Sol Price School Of Public Policy,3.14,165,159,5,2,3
588,"University Of Southern California, Sol Price School Of Public Policy",3.6,160,148,5.5,1,4
589,University Of Southern Maine,3.9,165,148,5,2,3
590,University Of Southern Mississippi,3.702857143,154,150.7142857,3.857142857,4,5
591,University Of St Andrews,3.95,167.5,162.5,5.25,3,1
592,University Of St. Thomas,3.92,156,152,4.5,1,4
593,University Of St. Thomas (Center For Thomistic Studies),3.27,165,160,4.5,3,1
594,University Of Strathclyde,3.13,154,154,5,1,4
595,University Of Stuttgart,4,151,161,3,0,2
596,University Of Sydney,3.3,151,160,3.5,0,2
597,University Of Syracuse,3.8,151,151,4,4,5
598,University Of Tehran,3.4,152,165,3,0,2
599,University Of Tennessee,3.729210526,155.9473684,153.1578947,4.223684211,1,4
600,"University Of Tennessee, Knoxville",3.7,154.75,152.45,4.475,1,4
601,University Of Texas (UT),3.7,168,167,4.5,3,1
602,"University Of Texas - Austin, LBJ School Of Public Affairs",3.6,160,155,5,1,4
603,University Of Texas - Houston Health Science Center,3.12,159,147,6,1,4
604,University Of Texas At Austin LBJ School Of Public Affairs,3.4,160,165,4.5,3,1
605,University Of Texas At Austin School Of Architecture,3.96,165,160,4,3,1
606,"University Of Texas At Austin, LBJ School Of International Affairs",3.5,166,166,4.5,3,1
607,University Of Texas Austin LBJ School,3.81,168,163,5,3,1
608,University Of Texas Health Houston,3.67,156,158,4,1,4
609,University Of Texas Health Science Center,3.26,158.5,156,4.75,1,4
610,University Of Texas Houston Health Sciences Center,3.56,158,158,3.4,1,4
611,University Of Texas School Of Public Health,3.6,159,165,3.5,3,1
612,University Of Texas School Of Public Health In Houston,3.79,154,166,3.5,0,2
613,"University Of Texas, Arlington",3.400588235,153.2352941,159.0588235,3.647058824,0,2
614,"University Of Texas, Austin (UT Austin)",3.635488,159.704,159.54,4.294,3,1
615,"University Of Texas, Dallas (UT Dallas)",3.637472222,155.0555556,158.1805556,3.979166667,1,4
616,"University Of Texas, Houston (UT Houston)",3.3,152.5,155,4.5,1,4
617,"University Of Texas, San Antonio (UTSA)",3.025,152.5,153,3.25,1,4
618,University Of Texas-LBJ School,3.815,165,157,4.75,2,3
619,University Of Texas-Pan American (UTPA),3.57,150,151,3.5,4,5
620,University Of The District Of Columbia,3.495454545,152.8181818,149.7272727,4.181818182,4,5
621,University Of The Pacific,3.76,156.25,151.625,4.5625,1,4
622,University Of Tokyo,4,165,163,5.5,3,1
623,University Of Toledo,3.669565217,154.2608696,151.5652174,4.065217391,1,4
624,University Of Toronto (UofT),3.754807692,161.4230769,161.25,4.375,3,1
625,University Of Tulsa,3.588076923,154.2307692,158.3461538,3.884615385,1,4
626,University Of Utah (UoU),3.626393443,158.1803279,157.852459,4.204918033,1,4
627,University Of Vermont,3.67862069,159.4827586,152,4.517241379,1,4
628,University Of Virginia (UVA),3.635454545,158.8961039,156.1688312,4.396103896,1,4
629,University Of Virginia - Batten School Of Leadership & Public Policy,3.24,157,162,5,3,1
630,University Of Virginia Batten School Of Public Policy,3.9,167,160,4.5,2,3
631,"University Of Virginia, Batten School Of Leadership And Public Policy",3.12,161,161,5,3,1
632,University Of VirginiaUVA- Batten School,3.6,166,147,4.5,2,3
633,University Of WI: River Falls,3.83,157,147,4.5,4,5
634,University Of Warwick,3.783333333,160.6666667,168,4.5,3,1
635,University Of Washington - Evans School Of Public Affairs,3.472,160.2,155.2,5,1,4
636,University Of Washington School Of Marine And Environmental Affairs (SMEA),3.89,169,164,5.5,3,1
637,University Of Washington The Henry M. Jackson School Of International Studies,3.9,154,165,4,0,2
638,"University Of Washington, Evans School Of Public Affairs",3.6,160,148,5.5,1,4
639,"University Of Washington, Jackson School Of International Studies",3.3,165,162,5,3,1
640,"University Of Washington, Seattle (UW)",3.644291667,159.8416667,158.9291667,4.3525,3,1
641,University Of Waterloo,3.586153846,157.8846154,164.1923077,3.884615385,3,1
642,University Of West Florida,3.34,157.625,152.5,4.375,1,4
643,University Of West Georgia,3.604,151.8,148.6,4.1,4,5
644,University Of Western Ontario (UWO),3.629090909,157.3636364,159,4.5,1,4
645,University Of Wisconsin - River Falls,3.7,170,156,4,2,3
646,University Of Wisconsin Madison--LaFollette School Of Public Affairs,3.68,168,163,5,3,1
647,University Of Wisconsin River Falls,3.77,157,149,4,1,4
648,"University Of Wisconsin, Eau Claire",3.837272727,153.7272727,151.8181818,4.227272727,1,4
649,"University Of Wisconsin, La Crosse",3.2,141,147,3.5,4,5
650,"University Of Wisconsin, Madison",3.611863014,160.3013699,160.0068493,4.349315068,3,1
651,"University Of Wisconsin, Milwaukee",3.740769231,156.6538462,152,4.480769231,1,4
652,"University Of Wisconsin, Whitewater ",3.555,152.75,150.75,3.625,4,5
653,University Of Wisconsin- Stevens Point,3.75,151,150.6666667,4,4,5
654,University Of Wisconsin-River Falls,3.94,153,156,4.5,1,4
655,University Of Wisconsin-Stevens Point,3.5625,150.25,151.25,4.375,4,5
656,University Of Wisonconsin- Stevens Point,3.77,147,146,4,4,5
657,University Of Wyoming,3.7292,158.16,154.6,4.26,1,4
658,University of Central Florida (UCF),3.4,159,164,4.5,3,1
659,University of Pennsylvania (Upenn),3.76,160,155,3.5,1,4
660,Unversity Of Nebraska Kearney,3.54,152,155,4,1,4
661,Uppsala University,3.53,150,158,3.5,0,2
662,Utah State University,3.692,158,153.8,4.2,1,4
663,Valdosta State University,3.609,153.8,148.7,4.4,4,5
664,Vanderbilt University,3.678947368,161.2982456,157.3333333,4.561403509,2,3
665,Villanova University,3.669,160.95,154,4.9,2,3
666,Virginia Commonwealth University (VCU),3.495454545,157.9090909,157.4545455,4.681818182,1,4
667,Virginia Politech Institute And State University_Blacks Burgh,3.2,154.5,164.5,3.75,0,2
668,Virginia Tech,3.594466667,158.8333333,160.1,4.1,3,1
669,Visvesvaraya Technological University (VTU),3.996,156,161,4,3,1
670,Wake Forest University,3.699166667,162,157.5833333,4.625,2,3
671,Washington State University (WSU),3.453333333,153.6666667,155.4444444,3.972222222,1,4
672,"Washington University, St. Louis (WUSTL)",3.537090909,158.8727273,157.0727273,4.272727273,1,4
673,Wayne State University,3.631463415,154.0731707,152.0243902,4.195121951,1,4
674,West Chester University,3.762666667,157.4,152.6,4.3,1,4
675,West Texas A&M University,3.5,150,144,3.5,4,5
676,West Virginia University,3.589677419,155.3225806,153.516129,4.177419355,1,4
677,Western Carolina University,3.567333333,158,152.7333333,4.333333333,1,4
678,Western Illinois University,3.606,154.4,151.7,4.05,1,4
679,Western Kentucky University,3.631111111,160.5555556,151.3333333,4.111111111,1,4
680,Western Michigan University,3.717652174,156.5,152.7173913,4.532608696,1,4
681,Western Ontario,3.48,155.5,160,4.5,1,4
682,Western University,3.53,166,147,4.5,2,3
683,Western Washington University,3.66,159.2857143,153,4.535714286,1,4
684,Wichita State University,3.594545455,152.0909091,153.5454545,4.136363636,1,4
685,Wilfrid Laurier University,3.05,169,163,5,3,1
686,William Paterson University,3.755384615,159.6153846,151.4615385,4.192307692,1,4
687,Winthrop University,2.895,152.5,144,4.25,4,5
688,Woodbury University,3.2,144,161,3,0,2
689,Worcester State University,3.750769231,153.6923077,152.2307692,4.384615385,1,4
690,Wright State University,3.41,160.5,157.75,4,1,4
691,Yale Univ,3.89,162,166,3.5,3,1
692,Yale University,3.668,162.875,163.3,4.725,3,1
693,York University,3.570714286,158.7142857,155.452381,4.571428571,1,4
694,Youngstown State University,3.5,163,155,5.5,2,3
695,Zhejiang University Of Technology,3.7,168,150,3,2,3
